Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Camry,Sedan,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,125000,66000
Optima,Sedan,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.0,190000,38000
Sierra,Pickup,Qassim,GMC,Automatic,Saudi,Standard,2020,5.3,17000,135000
Yaris,Hatchback,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,50000,33000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88564,26800
Land Cruiser,SUV,Aseer,Toyota,Automatic,Saudi,Full,2013,4.6,101000,150000
Land Cruiser,SUV,Dammam,Toyota,Automatic,Saudi,Full,2013,4.6,281000,135000
Rio,Hatchback,Riyadh,Kia,Automatic,Saudi,Semi Full,2018,2.0,85000,30000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,74000,27000
Land Cruiser 70,SUV,Dammam,Toyota,Manual,Saudi,Semi Full,2014,4.0,70000,69000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,22999,53000
The 7,Sedan,Jeddah,BMW,Automatic,Saudi,Full,2014,6.0,182000,90000
Maxima,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2017,3.5,158543,61500
Navara,Pickup,Jeddah,Nissan,Automatic,Other,Full,2015,2.5,19000,38000
LS,Sedan,Khobar,Lexus,Automatic,Saudi,Full,2015,4.6,103000,170000
Accent,Sedan,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2019,1.4,65392,37000
Corolla,Sedan,Dammam,Toyota,Automatic,Saudi,Standard,2017,1.6,100000,44000
Accord,Sedan,Qassim,Honda,Automatic,Gulf Arabic,Semi Full,2017,2.5,62847,82000
